Depth,Density,P_Slowness,Gamma_Ray,Porosity_Frac,P_Impedance,P_Impedance-rel
0,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
0.1524,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
0.3048,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
0.4572,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
0.6096,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
0.762,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
0.9144,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.0668,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.2192,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.3716,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.524,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.6764,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.8288,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
1.9812,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
2.1336,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
2.286,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
2.4384,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
2.5908,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
2.7432,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
2.8956,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.048,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.2004,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.3528,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.5052,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.6576,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.81,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
3.9624,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
4.1148,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
4.2672,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
4.4196,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
4.572,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
4.7244,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
4.8768,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.0292,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.1816,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.334,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.4864,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.6388,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.7912,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
5.9436,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
6.096,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
6.2484,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
6.4008,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
6.5532,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
6.7056,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
6.858,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.0104,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.1628,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.3152,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.4676,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.62,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.7724,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
7.9248,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.0772,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.2296,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.382,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.5344,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.6868,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.8392,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
8.9916,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
9.144,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
9.2964,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
9.4488,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
9.6012,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
9.7536,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
9.906,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.0584,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.2108,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.3632,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.5156,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.668,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.8204,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
10.9728,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
11.1252,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
11.2776,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
11.43,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
11.5824,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
11.7348,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999.0000,-9999
