Two-way-time,Amplitude
0.5,0.008340016
0.504,0.02111721
0.508,0.020463041
0.512,0.00833255
0.516,0.000308189
0.52,0.002756077
0.524,0.002543004
0.528,-0.013956185
0.532,-0.039940118
0.536,-0.051296186
0.54,-0.027698731
0.544,0.026726228
0.548,0.078971381
0.552,0.088822785
0.556,0.043660939
0.56,-0.027339438
0.564,-0.076443469
0.568,-0.076842402
0.572,-0.041535378
0.576,-0.005841224
0.58,0.006482293
0.584,0.00063578
0.588,-0.000873247
0.592,0.015672741
0.596,0.040665202
0.6,0.052812867
0.604,0.042437864
0.608,0.018701329
0.612,-0.002109091
0.616,-0.009002835
0.62,-0.003890468
0.624,-0.003394723
0.628,-0.023429756
0.632,-0.056829535
0.636,-0.076272828
0.64,-0.061562439
0.644,-0.017367862
0.648,0.03293615
0.652,0.065233536
0.656,0.069479052
0.66,0.051654905
0.664,0.024558105
0.668,-0.000854241
0.672,-0.017762658
0.676,-0.023442187
0.68,-0.0201909
0.684,-0.014842151
0.688,-0.013276421
0.692,-0.0136841
0.696,-0.008379437
0.7,0.005894963
0.704,0.022607046
0.708,0.031247938
0.712,0.024532965
0.716,0.001037938
0.72,-0.030265983
0.724,-0.04713401
0.728,-0.030170225
0.732,0.010216447
0.736,0.03722222
0.74,0.029790628
0.744,0.007249686
0.748,-0.002775249
0.752,-0.004146189
0.756,-0.016080125
0.76,-0.031677434
0.764,-0.02553481
0.768,0.002962208
0.772,0.025892095
0.776,0.025241199
0.78,0.009550353
0.784,-0.006033588
0.788,-0.014026108
0.792,-0.009626094
0.796,0.007332034
0.8,0.022517989
0.804,0.017741948
0.808,-0.004631672
0.812,-0.022828203
0.816,-0.022372506
0.82,-0.009170603
0.824,0.0030987
0.828,0.008011016
0.832,0.007925789
0.836,0.006880082
0.84,0.005765039
0.844,0.003937853
0.848,0.002011272
0.852,0.00122634
0.856,0.001984143
0.86,0.003748971
0.864,0.00556186
0.868,0.007234376
0.872,0.008666409
0.876,0.005230963
0.88,-0.011453703
0.884,-0.039269341
0.888,-0.055715942
0.892,-0.037413563
0.896,0.00848286
0.9,0.048095185
0.904,0.058734011
0.908,0.045668852
0.912,0.021423742
0.916,-0.007175804
0.92,-0.028570967
0.924,-0.030123065
0.928,-0.019250944
0.932,-0.017681436
0.936,-0.028430983
0.94,-0.029531808
0.944,-0.006640502
0.948,0.026087728
0.952,0.044246696
0.956,0.039148007
0.96,0.02004396
0.964,0.000404407
0.968,-0.012153178
0.972,-0.01770777
0.976,-0.02000087
0.98,-0.019003179
0.984,-0.009367295
0.988,0.008892654
0.992,0.02271716
0.996,0.018590792
1,0.000176807
1.004,-0.014908126
1.008,-0.013217756
1.012,0.004009374
1.016,0.023802552
1.02,0.031887806
1.024,0.023307177
1.028,0.004303695
1.032,-0.015845647
1.036,-0.031485261
1.04,-0.037767687
1.044,-0.028539528
1.048,-0.005547502
1.052,0.014982342
1.056,0.016335794
1.06,0.000977798
1.064,-0.012045375
1.068,-0.008711331
1.072,0.006291933
1.076,0.016848876
1.08,0.012903235
1.084,-8.84E-06
1.088,-0.007546852
1.092,-0.002472364
1.096,0.006785789
1.1,0.006410989
1.104,-0.003621613
1.108,-0.008208606
1.112,0.00115391
1.116,0.014027303
1.12,0.017818808
1.124,0.01405809
1.128,0.007928935
1.132,-0.004104516
1.136,-0.0235272
1.14,-0.038278821
1.144,-0.034094846
1.148,-0.011864073
1.152,0.011709566
1.156,0.018925328
1.16,0.009127838
1.164,0.002306193
1.168,0.014824062
1.172,0.032165721
1.176,0.024041195
1.18,-0.010464285
1.184,-0.035229811
1.188,-0.023443727
1.192,0.008403132
1.196,0.024457267
1.2,0.010873304
1.204,-0.017815529
1.208,-0.038733235
1.212,-0.037281723
1.216,-0.015230047
1.22,0.012214709
1.224,0.032473115
1.228,0.043364988
1.232,0.041193738
1.236,0.017992438
1.24,-0.019402675
1.244,-0.045936328
1.248,-0.045002986
1.252,-0.022522948
1.256,0.008611969
1.26,0.03701102
1.264,0.046262508
1.268,0.026114112
1.272,-0.007709201
1.276,-0.027127474
1.28,-0.024262113
1.284,-0.011579123
1.288,0.00352348
1.292,0.022135001
1.296,0.036487367
1.3,0.032196741
1.304,0.010721551
1.308,-0.008026094
1.312,-0.011839128
1.316,-0.011129308
1.32,-0.019755682
1.324,-0.033620951
1.328,-0.038596643
1.332,-0.029806517
1.336,-0.012991868
1.34,0.005708492
1.344,0.02183744
1.348,0.0293701
1.352,0.024546362
1.356,0.011998231
1.36,0.001062948
1.364,-0.003458692
1.368,-0.003475746
1.372,-0.002951969
1.376,-0.004095576
1.38,-0.005921913
1.384,-0.005344908
1.388,-0.001811872
1.392,0.000547656
1.396,-0.001039899
1.4,-0.002069845
1.404,0.004055137
1.408,0.015657026
1.412,0.022313293
1.416,0.016144686
1.42,0.00097621
1.424,-0.011891103
1.428,-0.016034565
1.432,-0.01559258
1.436,-0.01780855
1.44,-0.021491881
1.444,-0.016479438
1.448,0.002471305
1.452,0.024461194
1.456,0.031599914
1.46,0.018392348
1.464,-0.003418493
1.468,-0.017214608
1.472,-0.014222339
1.476,0.002381862
1.48,0.020656192
1.484,0.027840457
1.488,0.018155755
1.492,-0.0043044
1.496,-0.027711007
1.5,-0.038897769
1.504,-0.032110932
1.508,-0.013053338
1.512,0.006918564
1.516,0.020743871
1.52,0.028517232
1.524,0.03075411
1.528,0.023895219
1.532,0.007513055
1.536,-0.009188525
1.54,-0.017354911
1.544,-0.020504108
1.548,-0.024994269
1.552,-0.02413847
1.556,-0.007619545
1.56,0.016797313
1.564,0.027916
